gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
ENSMUSG00000031024,307.00412320497463,-0.48993915501308755,0.5205497596355692,-0.9411956224052206,0.34660461967363887,0.9999741508561834,-0.46016565314720526
ENSMUSG00000030470,4411.889258033403,-0.8215982457567856,0.8726689360510638,-0.9414775888260909,0.3464601688204497,0.9999741508561834,-0.46034668733158784
ENSMUSG00000038495,547.0150180410485,-0.5462079344413533,0.5799151118351485,-0.9418756698939461,0.34625629793437207,0.9999741508561834,-0.46060231862563045
ENSMUSG00000026628,1178.4542634660302,-0.4620504939341499,0.49049332945896346,-0.9420117791281946,0.34618660928787126,0.9999741508561834,-0.4606897349148671
ENSMUSG00000073591,21.424406111583142,-0.5689078481765971,0.6038092478660216,-0.9421979709440147,0.34609129256612226,0.9999741508561834,-0.4608093271376996
ENSMUSG00000078651,7.922965038529415,-0.8387784390778784,0.8898447743458484,-0.9426120861298416,0.34587935553884264,0.9999741508561834,-0.4610753588966729
ENSMUSG00000025024,120.8699030116667,-0.7377188539201011,0.7822181809588432,-0.9431113618655669,0.34562394478447445,0.9999741508561834,-0.46139617728245125
ENSMUSG00000062826,6.480863070472316,-1.0404538972842938,1.1023604002663818,-0.9438418660837885,0.345250462866895,0.9999741508561834,-0.46186573050341195
ENSMUSG00000013787,282.8796191962878,-0.5061178789181879,0.5361722658858026,-0.9439463976788091,0.34519704047662103,0.9999741508561834,-0.46193293633510807
ENSMUSG00000086126,4.848429599705214,-1.2553292580170399,1.3297976191720684,-0.9440002297481984,0.3451695308716952,0.9999741508561834,-0.4619675477143978
ENSMUSG00000112583,3.2912109480029574,-1.5222141299219787,1.612294723748676,-0.9441289532863726,0.3451037554222167,0.9999741508561834,-0.4620503146862823
ENSMUSG00000067698,4.895667253781352,-1.629665504486778,1.7260485397355805,-0.9441597191330624,0.34508803580267433,0.9999741508561834,-0.4620700974310581
ENSMUSG00000014426,814.3790740476079,-0.41996001952959067,0.4447434945024442,-0.9442746767986343,0.3450293029333841,0.9999741508561834,-0.4621440192402026
ENSMUSG00000025357,80.79126259640617,-0.655622736212123,0.6941225874193372,-0.9445345074414709,0.34489657669149065,0.9999741508561834,-0.46231111624836385
ENSMUSG00000033430,138.39255436110116,-0.5608662150783966,0.593706155346246,-0.9446865423709523,0.34481892957462523,0.9999741508561834,-0.46240890066592866
ENSMUSG00000055762,527.5954598941228,-0.49868391238833315,0.527800182682689,-0.9448346718139345,0.3447432877889429,0.9999741508561834,-0.46250418085799166
ENSMUSG00000028612,1.3600594045068881,-3.409313136006726,3.606912030635943,-0.9452166027474814,0.3445483049188217,0.9999741508561834,-0.4627498823512749
ENSMUSG00000071655,446.0214963759224,-0.5806721539970655,0.6141817611139536,-0.9454402438520625,0.3444341646308091,0.9999741508561834,-0.46289377715235047
ENSMUSG00000028796,133.18501654354918,-0.4232729500701601,0.44754036110296114,-0.9457760391197028,0.344262829251195,0.9999741508561834,-0.46310986641110247
ENSMUSG00000049327,1254.7103508417074,-0.5976877821215363,0.6319498094326287,-0.9457836258517853,0.3442589588435171,0.9999741508561834,-0.4631147490356652
ENSMUSG00000027796,31.541435777919645,-0.6902167685051869,0.7293671761984375,-0.9463227727119448,0.3439839816064958,0.9999741508561834,-0.463461780864175
ENSMUSG00000021476,508.1089195299663,-0.33600837734947114,0.3550601079710061,-0.9463422384158945,0.3439740562753869,0.9999741508561834,-0.4634743121997932
ENSMUSG00000102856,203.72963983739874,-0.6755801826160236,0.7138018112962327,-0.9464534439737549,0.34391735738890816,0.9999741508561834,-0.463545904934037
ENSMUSG00000019715,182.85271850163028,-0.355324759030529,0.3753981459932023,-0.9465277408081904,0.34387947998345103,0.9999741508561834,-0.463593738675926
ENSMUSG00000106925,2.090020781647901,-1.9593963480245242,2.069516209244304,-0.9467895633153846,0.3437460210032751,0.9999741508561834,-0.4637623202637102
ENSMUSG00000002105,162.82441387111786,-0.44635190024215976,0.4713375632487959,-0.9469898752935856,0.3436439381654617,0.9999741508561834,-0.46389131258573635
ENSMUSG00000024201,233.16677575339193,-0.5159045854261188,0.5446847346906238,-0.9471618214509868,0.3435563265395182,0.9999741508561834,-0.46400204958005437
ENSMUSG00000058435,3.6145155179722983,-2.0904047076200785,2.20693432316771,-0.9471984216637805,0.3435376794959737,0.9999741508561834,-0.4640256222150826
ENSMUSG00000099860,1.3418987277660392,-3.3950678870210362,3.5842682253631883,-0.9472136775358154,0.34352990713887277,0.9999741508561834,-0.4640354480076716
ENSMUSG00000094320,4.126367220162323,-1.0559948986021719,1.114814011601411,-0.9472386313886149,0.3435171942266859,0.9999741508561834,-0.4640515201156867
ENSMUSG00000075028,123.77949282599165,-0.5079309956305037,0.5361997720685039,-0.947279394899876,0.3434964276214749,0.9999741508561834,-0.4640777752633779
ENSMUSG00000030091,65.46749868240478,-0.5331769723035437,0.5627416520269618,-0.9474631394052173,0.34340283058484544,0.9999741508561834,-0.4641961293780362
ENSMUSG00000032366,47946.56076773996,-0.7417965203894333,0.7826223928675479,-0.9478345203891656,0.3432137037373,0.9999741508561834,-0.4644353800929265
ENSMUSG00000048701,319.2243692794331,-0.5392379565299776,0.5685807931257864,-0.9483928459234513,0.34292950008833745,0.9999741508561834,-0.4647951536295634
ENSMUSG00000031823,212.7186847559476,-0.4103090354362438,0.43263589118814316,-0.948393426882399,0.3429292044419885,0.9999741508561834,-0.4647955280436435
ENSMUSG00000107809,1.8038939704697423,-1.4286463579918465,1.5062505692091814,-0.9484785514417571,0.34288588685049315,0.9999741508561834,-0.46485039003551165
ENSMUSG00000026404,57.89547526662927,-0.43961343842095074,0.46346924805471457,-0.9485277400088743,0.34286085771015873,0.9999741508561834,-0.46488209275265924
ENSMUSG00000038485,306.9441612194551,-0.46704654232627907,0.49237698336477626,-0.9485547824242402,0.3428470979285889,0.9999741508561834,-0.4648995223220834
ENSMUSG00000033032,577.002110461323,-0.5412276953815988,0.5704991513595239,-0.9486914995260379,0.34277753863347227,0.9999741508561834,-0.46498764406254295
ENSMUSG00000029027,36.25080364040151,-0.5827021704461742,0.6140459472794456,-0.9489553233399859,0.34264333514443734,0.9999741508561834,-0.46515771135320944
ENSMUSG00000072974,13.145053634642332,-0.8018644139458715,0.8448391784524245,-0.9491326093739235,0.3425531710879002,0.9999741508561834,-0.4652720077691717
ENSMUSG00000089652,2.6702910138242295,-1.3206413856914807,1.3906675224623288,-0.9496456660993569,0.3422923263924058,0.9999741508561834,-0.4656028368913073
ENSMUSG00000037993,168.5845019689911,-0.39699028582158913,0.41797956256245333,-0.9497839640479359,0.34222203566162923,0.9999741508561834,-0.4656920296922324
ENSMUSG00000032786,1530.7625377115128,-0.2722605113928075,0.28663654462411414,-0.949845776817611,0.3421906219499443,0.9999741508561834,-0.46573189687323413
