,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Cd109,72.0682951711446,0.9469878847196734,0.1682552941229654,5.628279868730845,1.8201559639058448e-08,5.837062298054117e-08,7.739891396981065
Ccdc186,1375.5551832548242,0.3772711549003212,0.067045075218066,5.627127028692798,1.8323579231505805e-08,5.87424347962422e-08,7.736989689583866
Pdcd7,447.67386759015295,0.3542857376038504,0.0629634586806046,5.626846825569718,1.83533564358626e-08,5.8828138174519466e-08,7.736284500988105
Arhgef7,3854.7946439627553,0.4569967983010839,0.0812426458859356,5.625085117768143,1.8541652507135225e-08,5.940213155277799e-08,7.731851562384178
Mapk8ip3,3131.6417955040392,0.4134179655637607,0.0735223966374324,5.62302080007655,1.876467972933384e-08,6.009672407764117e-08,7.726658843612744
Dock6,1927.1068162642143,0.3619174491520611,0.064368077965403,5.622623210010822,1.8807933190003136e-08,6.02053217450117e-08,7.725658926591778
Phf20,840.0840410240677,0.332391020248967,0.0591196005518504,5.622348885078233,1.883783317303901e-08,6.028106615372483e-08,7.724969053512996
Rufy1,1235.558923077184,0.2091418426603157,0.037200741165981,5.62198053332254,1.8878054191616143e-08,6.038977679833777e-08,7.724042771552429
Ifit1bl2,138.60753060051698,1.0026792942120937,0.1783683000244336,5.621398500040323,1.8941777522557945e-08,6.058359688168128e-08,7.722579268626517
Bag6,6885.453637280467,0.1848621577614694,0.0328898070791594,5.62065193379036,1.9023820402092437e-08,6.083593658696933e-08,7.720702262743697
Ptpn11,9318.729328079544,0.5496274391915855,0.0978192100665006,5.618808808800756,1.92278482685692e-08,6.146400811202818e-08,7.716069313648816
Mapre2,3149.049888263772,0.5994519003795921,0.1066896690465252,5.618649919311147,1.924553594819528e-08,6.150425244820078e-08,7.715669990201875
Zfp647,38.34973048999749,0.594189211841384,0.1057576487096047,5.61840414467744,1.927292685994813e-08,6.158160528171226e-08,7.715052326724859
Fitm2,7284.112407647068,0.404479295337196,0.0719981970993139,5.617908664841417,1.9328261852356976e-08,6.173800117044383e-08,7.713807199353282
Tom1l2,6043.7606575924,0.4259990731267356,0.0758444922932814,5.616743684952748,1.9458974758027725e-08,6.214525183793125e-08,7.710880045293806
Adgre5,1650.1377979995164,0.390765069991465,0.0695797887788073,5.616071518033758,1.9534783173481066e-08,6.23770509131079e-08,7.709191404868339
Cd34,3194.878773323631,0.857694051939891,0.1527288062610903,5.615797523315021,1.9565767078047495e-08,6.246078899027943e-08,7.70850312086666
Eif4e3,1772.0310507597069,0.6334809972375263,0.1128208223934337,5.614929795746599,1.966420670667598e-08,6.27384924441455e-08,7.706323569206558
Msantd3,332.88626287964195,0.7558049710622106,0.1346145777994737,5.614584864561122,1.970347095343577e-08,6.285338943522139e-08,7.705457262003712
Dohh,1127.4975064044352,0.1684296601256281,0.0299999133529735,5.614338219711352,1.9731593722222782e-08,6.293271344275937e-08,7.704837835335036
Adora2a,262.15443729459645,0.8088822035880571,0.14411275188006,5.612842673778522,1.9902954267478633e-08,6.345831410125817e-08,7.7010824549049905
Lamc1,7192.578958466204,0.7167842591690379,0.1277100718597094,5.612589897815042,1.9932059873741023e-08,6.35406322348122e-08,7.70044781692561
Jag2,1125.78202900602,0.6921494774496537,0.1233583555346848,5.610884438671372,2.012951582420716e-08,6.413835836634947e-08,7.69616667108273
Pcdhb20,95.46817371475852,0.8188106823985805,0.1459335638172976,5.610845517510249,2.0134044159543368e-08,6.41422128754993e-08,7.696068983195329
Shank3,2545.1092594295037,0.5724098115416428,0.1020192602289452,5.610801433543792,2.013917436298165e-08,6.414798320496199e-08,7.695958338000429
Extl3,2487.289844345381,0.2690187864944538,0.0479528190025629,5.610072402210091,2.0224198517620636e-08,6.438697231898724e-08,7.69412868040898
Rbbp7,3740.830566953055,0.2483994342795746,0.0442873697548031,5.608809817671202,2.0372274060198665e-08,6.483703491446069e-08,7.690960490063531
Itgb1,12866.3308395604,0.3013434534137685,0.0537385079842797,5.607588761152827,2.051648011658444e-08,6.526374715163661e-08,7.687897146341343
Smim19,895.6348603587337,0.222494754703115,0.0396858664079822,5.606397814672964,2.0658084589623604e-08,6.57033830752419e-08,7.684909948582147
Tie1,2994.113646784829,0.6121284629973648,0.1091947924489528,5.605839337837718,2.0724814280613977e-08,6.590477302002418e-08,7.683509352563741
Sema3g,668.3734861409096,0.903022006515015,0.1610923915986055,5.605615495268568,2.07516188486732e-08,6.597915596432895e-08,7.682948018006245
Ifit2,428.7578825979222,0.5867473284379829,0.1046734282946546,5.605504071064672,2.0764974151931525e-08,6.60107599356139e-08,7.682668605159954
Crocc,308.3496384915997,0.4426594429654824,0.0789708248661121,5.605354176253969,2.0782953705326267e-08,6.605705134296104e-08,7.682292729793044
Txnip,17478.613749122702,0.6136432625108507,0.1094763769295046,5.605257314150934,2.079458013954436e-08,6.60831379377036e-08,7.682049843989592
Calr3,407.0613925261923,0.7560614388671308,0.1349120562883439,5.604105812835742,2.0933280376106216e-08,6.651297766059197e-08,7.679162709663705
Dcn,14194.51117149498,0.610563851361678,0.1089565299682611,5.603738036990848,2.097776851188257e-08,6.664337767877487e-08,7.678240711305412
Cx3cr1,120.15522944294044,0.8515520912959271,0.1519738077851156,5.603281931975968,2.1033068930282792e-08,6.680807827189906e-08,7.677097354881594
Brms1l,491.6805386532622,0.5040105908011533,0.0899504333739111,5.603203585535303,2.1042582270485252e-08,6.682731352677277e-08,7.676900966181389
Filip1,3522.2463316289973,0.8906079505103343,0.1589956853045334,5.601459868577581,2.1255400189824053e-08,6.746992525355877e-08,7.672530713863352
Tox2,45.16734499981569,0.7051017521069168,0.1258982267187301,5.60056936848037,2.1364888856391643e-08,6.77952014146015e-08,7.6702993621110656
Gpr22,1117.98933670084,0.7480398256618994,0.1335775309213834,5.600042316264671,2.1429948628442047e-08,6.799048704703347e-08,7.668978870041274
Mtx2,1874.2395251889916,0.2688772315406397,0.0480138497463076,5.599993188659425,2.1436022771362284e-08,6.799859644262108e-08,7.668855790279679
Angptl2,2693.715951400415,0.5787613540301277,0.103355969435823,5.599689666589588,2.147358735343033e-08,6.809540547450394e-08,7.668095396753504
Tmem119,119.44215973718488,1.095978671157019,0.1957316750717117,5.599393510301675,2.1510301921652353e-08,6.820064231327045e-08,7.667353493750736
Metrnl,260.29326797945754,0.5869130871965892,0.104831341312175,5.598641397221399,2.160381566210654e-08,6.8463444682275e-08,7.665469537059771
Zfp438,197.3466586382897,0.4652657207058972,0.0831253675603975,5.597156853085102,2.178955563651065e-08,6.902942654359578e-08,7.661751626411807
Cbl,1148.077821966514,0.3099073381451918,0.0553709060965401,5.5969345635208345,2.1817500678990518e-08,6.91066294859929e-08,7.661195001845401
B3glct,282.8600059710949,0.4860261426740582,0.0868397213750169,5.596818310541975,2.1832129227041032e-08,6.914163422910848e-08,7.660903906688437
