,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Armcx2,3689.9,0.09191252810233744,0.06030461063167482,1.5241376594522051,0.12747432694049374,0.9999999759983075,0.8945772724124695
Gm6939,1374.0,0.10420493358231714,0.06837987379213166,1.523912341504026,0.1275306100823898,0.9999999759983075,0.8943855627253401
Cldn23,1927.4,0.13933270818341473,0.09145318535720465,1.5235413358124015,0.12762332731198323,0.9999999759983075,0.8940699369241215
Tspan31,3270.8,0.13188746419704342,0.08656743943442752,1.5235227593504668,0.1276279710933742,0.9999999759983075,0.8940541347037521
Iigp1,3306.3,0.08790754174718973,0.057700255672817745,1.5235208357768588,0.1276284519596905,0.9999999759983075,0.8940524984073157
Klhl3,28956.1,0.25320350617603676,0.16622043779362128,1.523299478313331,0.1276837976212193,0.9999999759983075,0.8938642088456891
Slc35g1,7093.4,0.12756512939447476,0.08375512094478993,1.5230725949111066,0.12774054429472786,0.9999999759983075,0.8936712376715892
Pcdhb7,5457.3,0.11399870869826535,0.07485129009342212,1.523002590282455,0.1277580573786951,0.9999999759983075,0.8936117004710709
Gm21807,1103.8,0.327105057376863,0.21481678045255423,1.5227165060743915,0.1278296465806127,0.9999999759983075,0.8933684118019518
Mylk4,7791.7,0.09435307756722783,0.06197360020511414,1.5224721051374661,0.12789082974143942,0.9999999759983075,0.8931605949699042
Rab24,2759.9,0.1520472621257352,0.09988461744046115,1.5222290080488814,0.12795170908597925,0.9999999759983075,0.8929539087478573
St8sia5,7342.9,0.2538303154990349,0.16680720344574662,1.5216987651351173,0.12808457717924607,0.9999999759983075,0.8925031610374572
Heatr5a,12566.3,0.10265750850811416,0.0674653020927353,1.5216341633956514,0.12810077239007187,0.9999999759983075,0.8924482516469234
Nup214,1220.3,0.5511496031035233,0.3622381968152363,1.5215115577241114,0.1281315131649763,0.9999999759983075,0.8923440450365381
Atp8a1,7673.6,0.4870000753748446,0.3201134671274767,1.521335793039003,0.12817559244066856,0.9999999759983075,0.892194666529509
